sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CC(C)CC(=O)NNC(=O)C1=CC(F)=C(Cl)C=C1Cl,Z136273548,307.148,307.148,2.804,-5.069,2,2,58.2,6,https://real.enamine.net/public-enum-files/Z136273548
CC1=NN(C)C=2N=C(C=C(C(=O)NCCCOC(C)C)C12)C3CC3,Z254870174,330.425,330.425,2.393,-2.742,1,4,69.04,8,https://real.enamine.net/public-enum-files/Z254870174
CC1CCCCC1OCCNC(=O)CN2N=C3C=CC=CN3C2=O,Z423051088,332.398,332.398,2.728,-3.465,1,4,74.24,6,https://real.enamine.net/public-enum-files/Z423051088
O=C(NC=1C=C(C=CC1N2C=NC=N2)C(F)(F)F)C3CC3,Z28535059,296.249,296.249,2.197,-3.59,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z28535059
O=S1(=O)CCN(CC1)C2=NC=CC=C2C(F)(F)F,Z1378381724,280.268,280.268,0.716,-2.252,0,4,50.27,2,https://real.enamine.net/public-enum-files/Z1378381724
CCN(CC)C(=O)C1CSCN1C(=O)C2=CC=C(O2)SC,Z1185051893,328.453,328.453,2.423,-4.784,0,2,53.76,7,https://real.enamine.net/public-enum-files/Z1185051893
CC(C)(C)CC1=NOC2=NC=C(C=C12)C(=O)N3CCCSCC3,Z828294038,333.45,333.45,2.492,-4.3,0,3,59.23,4,https://real.enamine.net/public-enum-files/Z828294038
COCCC1(CNC(=O)NC=2C=C(ON2)C(C)(C)C)CCC1,Z1424126156,309.405,309.405,2.93,-2.51,2,3,76.39,9,https://real.enamine.net/public-enum-files/Z1424126156
CC(C)OC=1C=CC(=CC1)C(=O)NNC(=O)C(C)C,Z29092678,264.321,264.321,2.188,-3.35,2,3,67.43,7,https://real.enamine.net/public-enum-files/Z29092678
CCCN1N=C(C(=O)NNC(=O)C2CCCC2)C3=CC=CC=C3C1=O,Z29624443,342.393,342.393,1.996,-4.911,2,4,90.87,5,https://real.enamine.net/public-enum-files/Z29624443
CC1=NN=C(NC(=O)C2=CC=3CCCC3S2)S1,Z29671423,265.357,265.357,2.381,-4.166,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z29671423
CC1=NN=C(NC(=O)C2=CC=3C(C)=NN(CC(C)C)C3S2)S1,Z29672362,335.451,335.451,2.872,-4.88,1,4,72.7,5,https://real.enamine.net/public-enum-files/Z29672362
CC1=NN=C(NC(=O)C2=CSC=3CCCCC23)S1,Z29671947,279.384,279.384,2.94,-4.344,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z29671947
CCC(CC)C1=NN=C(NC(=O)C=2C=CC=3OCCOC3C2)S1,Z29740118,333.407,333.407,3.641,-5.622,1,5,73.34,6,https://real.enamine.net/public-enum-files/Z29740118
NC(=O)CN1C=CC(=N1)NC(=O)C=2C=CC(F)=C(C2)C(F)(F)F,Z898810020,330.238,330.238,1.09,-3.617,2,3,90.01,6,https://real.enamine.net/public-enum-files/Z898810020
CC1(C)CN(CCS1)S(=O)(=O)C2=CNC=3N=CC=CC23,Z1359768194,311.426,311.426,2.263,-4.419,1,3,66.06,2,https://real.enamine.net/public-enum-files/Z1359768194
CC1CS(=O)(=O)CCN1CC2=CN(N=N2)C=3C=CC(Cl)=CC3,Z1408785025,340.83,340.83,1.874,-1.939,0,5,68.09,3,https://real.enamine.net/public-enum-files/Z1408785025
CCC1=CC=2C(=O)NC(=NC2S1)C3CC(CC)=NO3,Z1230934901,277.344,277.344,1.451,-4.071,1,4,63.05,3,
O=C(NC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C2=COCCO2,Z30254654,341.206,341.206,3.262,-4.821,1,3,47.56,4,https://real.enamine.net/public-enum-files/Z30254654
CCC=1N=C(NC(=O)CN(C)C2CCSC2)SC1C,Z1523156328,299.458,299.458,2.74,-3.54,1,3,45.23,6,https://real.enamine.net/public-enum-files/Z1523156328
O=C1C(Cl)=CC(=CN1CC=2C=CC(Cl)=C3C=CC=NC23)C(F)(F)F,Z406390740,373.156,373.156,4.173,-5.044,0,2,33.2,3,https://real.enamine.net/public-enum-files/Z406390740
CC1=NOC(C)=C1S(=O)(=O)N(C)CC2=CSC(=N2)C(C)C,Z729271902,329.441,329.441,2.129,-1.672,0,4,76.3,5,https://real.enamine.net/public-enum-files/Z729271902
O=S1(=O)CCCN1CCOC=2C(Cl)=CC=CC2Cl,Z729353042,310.197,310.197,2.815,-3.61,0,3,46.61,4,https://real.enamine.net/public-enum-files/Z729353042
CC(C)C1=NC(=CS1)CN(C)S(=O)(=O)C2=CC=CS2,Z729239414,316.466,316.466,2.597,-3.281,0,3,50.27,5,https://real.enamine.net/public-enum-files/Z729239414
CC=1C(=CC=CC1[N+]([O-])=O)CN2CCCS2(=O)=O,Z729354100,270.306,270.306,1.063,-2.917,0,4,80.52,3,https://real.enamine.net/public-enum-files/Z729354100
C=CCN(C(=O)C=1OC=2C(C)=CC=CC2C1C)C3CCS(=O)(=O)C3,Z816626642,347.43,347.43,2,-4.424,0,3,67.59,5,https://real.enamine.net/public-enum-files/Z816626642
CC1=NC(C)=C(S1)C(C)NC(=O)N2CCC=3SC=CC3C2C,Z750478474,335.49,335.49,2.915,-3.2,1,2,45.23,4,https://real.enamine.net/public-enum-files/Z750478474
CC1=CC(C)=CC(=C1)N2C=CN=C2SCCCN3C(=O)CNC3=O,Z729326450,344.433,344.433,3.35,-4.766,1,3,67.23,6,https://real.enamine.net/public-enum-files/Z729326450
O=C1CNC(=O)N1CCCSC2=NC=3C=CC=CC3N2,Z729317626,290.343,290.343,1.831,-4.257,2,3,78.09,5,https://real.enamine.net/public-enum-files/Z729317626
CC=1C=NN(C1)CC2CCCCN2CC=3C(C)=NN(C)C3Cl,Z1139699778,321.849,321.849,2.681,-1.54,0,3,38.88,4,https://real.enamine.net/public-enum-files/Z1139699778
CC=1C=CC(NS(=O)(=O)C=2C=NN(C2)C(C)C)=C(Cl)N1,Z1470658874,314.792,314.792,1.635,-2.25,1,4,76.88,4,https://real.enamine.net/public-enum-files/Z1470658874
N#CC1(CCCCC1)NC(=O)CN2N=NN(C2=O)C3=CC=CS3,Z215642246,332.383,332.383,2.166,-3.97,1,5,101.16,5,https://real.enamine.net/public-enum-files/Z215642246
CCN(C(=O)C1=CC=C(C)S1)C2CC(=O)NC2=O,Z978967384,266.318,266.318,1.677,-3.199,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z978967384
CC=1N=C(N=C(SCCN2C=CC=N2)C1C#N)C3CC3,Z821316054,285.369,285.369,1.958,-2.29,0,4,67.39,5,https://real.enamine.net/public-enum-files/Z821316054
CC=1N=C(S)SC1CC(=O)N(CC=2C=CC=NC2)C3CC3,Z192977142,319.448,319.448,1.412,-3.023,1,3,46.09,6,https://real.enamine.net/public-enum-files/Z192977142
