sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C1CCC=2C=CC=CC12,Z104495974,132.16,132.16,1.716,-1.94,0,1,17.07,0,https://real.enamine.net/public-enum-files/Z104495974
NC(=O)C=1C=CC=CN1,Z33546380,122.125,122.125,0.144,-0.67,1,2,55.98,1,https://real.enamine.net/public-enum-files/Z33546380
OC=1C(F)=CC=CC1F,Z147646794,130.092,130.092,1.762,-1.55,1,1,20.23,0,https://real.enamine.net/public-enum-files/Z147646794
CC1=CC=2C=CC=CC2N1,Z57200682,131.175,131.175,2.631,-2.43,1,0,15.79,0,https://real.enamine.net/public-enum-files/Z57200682
NNC(=O)C=1C=CN=CC1,Z58981801,137.14,137.14,-0.668,-0.51,2,3,68.01,1,https://real.enamine.net/public-enum-files/Z58981801
NC1=NC=2C=CC=CC2N1,Z104378302,133.151,133.151,1.238,-2.35,2,2,54.7,0,https://real.enamine.net/public-enum-files/Z104378302
NC(=O)C=1C=CC=C(Cl)C1,Z33546479,155.581,155.581,1.536,-2.34,1,1,43.09,1,https://real.enamine.net/public-enum-files/Z33546479
CCCC=1C=CC=CC1N,Z336087926,135.207,135.207,2.422,-2.52,1,1,26.02,2,https://real.enamine.net/public-enum-files/Z336087926
CC=1C=CC(=CN1)C(N)=O,Z57493539,136.152,136.152,0.293,-0.61,1,2,55.98,1,https://real.enamine.net/public-enum-files/Z57493539
NS(=O)(=O)C=1C=CC=CC1F,Z45415581,175.182,175.182,0.694,-1.62,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415581
NC1=NC=2C=CC(Br)=CC2S1,Z56858257,229.098,229.098,2.695,-3.65,1,2,38.91,0,https://real.enamine.net/public-enum-files/Z56858257
CNC(=O)C=1C=C(Cl)C=CN1,Z94601331,170.596,170.596,1.25,-1.51,1,2,41.99,2,https://real.enamine.net/public-enum-files/Z94601331
OC=1C=CC=C2C=CC=NC12,Z56926518,145.158,145.158,2.077,-1.62,1,2,33.12,0,https://real.enamine.net/public-enum-files/Z56926518
NC=1C=CC(F)=CC1C(=O)O,Z56946871,155.127,155.127,1.478,-1.63,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z56946871
CC=1C=CC(N)=C(C1)C(=O)O,Z111833788,151.163,151.163,1.707,-1.86,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z111833788
O=C1NCCC=2C=CC=CC12,Z56801375,147.174,147.174,0.996,-1.47,1,1,29.1,0,https://real.enamine.net/public-enum-files/Z56801375
CCCC(=O)C=1C=CC=NC1,Z513733856,149.19,149.19,1.538,-1.5,0,2,29.96,3,https://real.enamine.net/public-enum-files/Z513733856
FC=1C=C(F)C=2NC=CC2C1,Z1201620809,153.129,153.129,2.645,-2.84,1,0,15.79,0,https://real.enamine.net/public-enum-files/Z1201620809
CN1CC=2C=CC=CC2NC1=O,Z104476152,162.189,162.189,1.033,-1.59,1,1,32.34,0,https://real.enamine.net/public-enum-files/Z104476152
NNC(=O)CC=1C=CC(F)=CC1,Z56347387,168.169,168.169,0.287,-1.49,2,2,55.12,3,https://real.enamine.net/public-enum-files/Z56347387
CCN1C(=O)NC=2C=CC=CC21,Z57114989,162.189,162.189,2.143,-2.17,1,1,32.34,1,https://real.enamine.net/public-enum-files/Z57114989
O=C(O)C(=O)NC=1C=CC=CC1,Z362848468,165.146,165.146,-0.085,-1.75,2,3,66.4,1,https://real.enamine.net/public-enum-files/Z362848468
CCC=1C=CC(=CC1)S(N)(=O)=O,Z57902253,185.245,185.245,1.333,-2.37,1,2,60.16,2,https://real.enamine.net/public-enum-files/Z57902253
C1CCN(CC1)C2CCNCC2,Z317268638,168.28,168.28,0.733,0,1,2,15.27,1,https://real.enamine.net/public-enum-files/Z317268638
NC1=CC=C2OC(=O)C=CC2=C1,Z56754502,161.158,161.158,1.014,-2.38,1,2,52.32,0,https://real.enamine.net/public-enum-files/Z56754502
NC(=O)C=1C=CC=C2NC=CC12,Z415653738,160.173,160.173,0.837,-2.46,2,1,58.88,1,https://real.enamine.net/public-enum-files/Z415653738
C1=CN(C=N1)CC=2C=CC=CC2,Z57842700,158.2,158.2,1.505,-1.43,0,1,17.82,2,https://real.enamine.net/public-enum-files/Z57842700
COC1=CC=CC(OC)=C1C(=O)O,Z57915361,182.174,182.174,1.155,-1.58,1,4,55.76,3,https://real.enamine.net/public-enum-files/Z57915361
CC=1C=CC=2NC(=CC2C1)C(=O)O,Z235352033,175.184,175.184,2.63,-3.17,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z235352033
O=C(O)C1=CC2=CC(F)=CC=C2N1,Z235348085,179.148,179.148,2.355,-2.95,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z235348085
O=C(O)C1=CC2=C(Cl)C=CC=C2N1,Z119989536,195.602,195.602,2.925,-3.42,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z119989536
O=C(O)CC1=CC2=CC=CC=C2S1,Z1198265898,192.236,192.236,2.444,-2.76,1,2,37.3,2,https://real.enamine.net/public-enum-files/Z1198265898
O=C1CCC2=CC=CC=3CCN1C32,Z1198154439,173.212,173.212,1.497,-2.024,0,1,20.31,0,https://real.enamine.net/public-enum-files/Z1198154439
O=C(O)CCC1=NC=2C=CC=CC2N1,Z57115077,190.199,190.199,1.096,-1.5,2,3,65.98,3,https://real.enamine.net/public-enum-files/Z57115077
